Column1;Column2
9.023178619;-79.53151863
9.023174828;-79.53152212
9.023169498;-79.53152702
9.02316367;-79.53153238
9.023158882;-79.53153678
9.023153552;-79.53154169
9.023147725;-79.53154705
9.023141442;-79.53155283
9.023133664;-79.53155998
9.023126385;-79.53156668
9.023120102;-79.53157246
9.023113819;-79.53157824
9.023106497;-79.53158498
9.023099672;-79.53159125
9.023093931;-79.53159653
9.023087193;-79.53160273
9.023080954;-79.53160847
9.023074715;-79.53161421
9.023067933;-79.53162045
9.02306477;-79.53162336
9.023058531;-79.5316291
9.023053331;-79.53163388
9.023049713;-79.53163721
9.023045056;-79.5316415
9.023040311;-79.53164586
9.023034526;-79.53165118
9.023030323;-79.53165505
9.023024626;-79.53166029
9.023018343;-79.53166607
9.023012103;-79.53167181
9.023006904;-79.53167659
9.023001206;-79.53168183
9.022994425;-79.53168807
9.022988142;-79.53169385
9.022981318;-79.53170013
9.022974039;-79.53170683
9.022966803;-79.53171348
9.022962145;-79.53171777
9.022954909;-79.53172442
9.022948171;-79.53173062
9.022941433;-79.53173682
9.022932573;-79.53174497
9.022925792;-79.53175121
9.022918512;-79.53175791
9.022913854;-79.53176219
9.022908655;-79.53176697
9.022907073;-79.53176843
