Column1;Column2
9.022876626;-79.53177208
9.022889305;-79.53177533
9.02290268;-79.53177876
9.022916538;-79.53178232
9.022931092;-79.53178605
9.022944468;-79.53178949
9.022959263;-79.53179328
9.022972423;-79.53179666
9.022986521;-79.53180028
9.022999922;-79.53180372
9.023013322;-79.53180716
9.023026241;-79.53181047
9.02303916;-79.53181379
9.023052777;-79.53181728
9.02306685;-79.53182089
9.023080682;-79.53182444
9.023094996;-79.53182812
9.023108372;-79.53183155
9.023120809;-79.53183474
9.023134667;-79.5318383
9.023148765;-79.53184192
9.023160986;-79.53184505
9.023172029;-79.53184789
9.023179991;-79.53184993
9.02318562;-79.53185138
9.023184923;-79.5318512
