Column1;Column2
9.023385599;-79.53167458
9.023384394;-79.5316737
9.023383124;-79.53167277
9.023382295;-79.53167217
9.023382755;-79.5316725
9.023383981;-79.5316734
9.023384327;-79.53167365
9.023384429;-79.53167372
9.023384826;-79.53167401
9.023385129;-79.53167423
9.023382974;-79.53167266
9.023380928;-79.53167117
9.023380022;-79.53167051
9.023381726;-79.53167175
9.023380991;-79.53167121
9.023380326;-79.53167073
9.02337942;-79.53167007
9.023378787;-79.53166961
9.023379501;-79.53167013
9.02337945;-79.53167009
9.023379193;-79.5316699
9.023378491;-79.53166939
9.023377784;-79.53166887
9.023377005;-79.53166831
9.023375779;-79.53166741
9.023375631;-79.5316673
9.023375169;-79.53166697
9.023374486;-79.53166647
9.023373869;-79.53166602
9.02337198;-79.53166464
9.023370828;-79.5316638
9.023369544;-79.53166286
9.023367825;-79.53166161
9.023365816;-79.53166014
9.023364493;-79.53165918
9.023363003;-79.53165809
9.023362167;-79.53165748
9.023361079;-79.53165669
9.023360193;-79.53165604
9.023359812;-79.53165576
9.023359978;-79.53165588
9.02336076;-79.53165645
9.023359969;-79.53165588
9.023358849;-79.53165506
9.023355327;-79.53165249
9.023349447;-79.5316482
9.023348602;-79.53164758
9.023348004;-79.53164715
9.023346521;-79.53164607
9.023344572;-79.53164464
9.023344794;-79.53164481
9.023343401;-79.53164379
9.023344598;-79.53164466
9.023341979;-79.53164275
9.023338902;-79.53164051
9.023337138;-79.53163922
9.023333277;-79.5316364
9.023332387;-79.53163575
9.023328632;-79.53163301
9.023327088;-79.53163189
9.023325021;-79.53163038
9.023323044;-79.53162894
9.02332169;-79.53162795
9.023321379;-79.53162772
9.023321295;-79.53162766
9.02332048;-79.53162707
9.023319101;-79.53162606
9.023317965;-79.53162523
9.023316598;-79.53162423
9.023315297;-79.53162328
9.023314306;-79.53162256
9.023313136;-79.53162171
9.023312383;-79.53162116
9.023312782;-79.53162145
9.023311653;-79.53162063
9.023311117;-79.53162023
9.023309009;-79.5316187
9.02330778;-79.5316178
9.023306052;-79.53161654
9.023303292;-79.53161452
9.023302373;-79.53161385
