Column1;Column2;Column3;Column4
2;28;22;2
2;28;22;2
2;28;22;2
2;28;22;2
2;28;21;2
2;28;21;2
3;28;21;2
3;28;21;1
3;28;21;1
3;28;21;1
3;28;21;2
2;28;22;2
2;27;22;2
1;27;23;2
1;27;23;3
0;27;23;3
0;27;24;3
0;27;24;3
0;27;24;4
0;27;25;4
0;27;25;4
0;27;25;4
0;26;25;4
1;26;25;4
1;26;25;4
1;26;25;4
1;26;25;4
1;26;25;4
1;26;25;5
1;26;25;5
1;25;25;5
1;25;26;5
1;25;26;5
1;25;26;6
1;25;26;6
1;24;26;6
1;24;26;6
1;24;26;6
1;24;26;6
1;24;26;6
1;24;26;6
1;24;27;6
1;24;27;7
1;24;26;7
1;23;27;7
0;23;27;8
1;22;27;8
0;22;27;8
0;22;26;8
0;22;27;8
0;22;26;8
0;22;26;8
0;22;26;8
0;22;27;8
0;21;27;9
0;21;27;9
0;21;27;9
0;20;27;10
0;20;27;10
0;20;27;10
0;19;27;10
0;19;28;11
0;19;28;11
0;19;28;11
0;19;28;11
1;19;28;11
1;19;28;11
1;18;28;12
1;18;28;12
1;18;29;12
1;18;29;12
1;18;29;12
1;18;29;12
1;18;28;12
1;18;29;12
1;17;29;12
1;17;29;13
1;17;29;13
1;17;29;13
1;16;29;13
1;16;30;14
2;16;30;14
2;16;30;14
2;16;30;14
2;16;30;14
2;16;30;14
2;16;30;14
2;16;30;14
2;16;30;14
2;15;30;14
1;15;30;14
1;15;30;15
1;15;30;15
1;15;30;15
1;15;30;15
1;14;30;15
1;14;30;15
1;14;30;15
1;14;30;16
1;14;30;16
1;14;30;16
1;14;30;16
1;13;30;16
1;13;31;16
1;13;31;17
2;13;31;17
1;13;31;17
2;12;31;17
2;12;32;18
2;11;32;18
2;11;32;19
2;11;33;19
2;11;33;19
2;10;33;19
2;10;33;20
2;10;33;20
2;10;33;20
2;10;33;20
2;10;33;20
3;9;33;20
3;9;33;21
3;9;34;21
3;9;34;21
3;8;34;21
3;8;34;22
3;8;34;22
3;8;34;22
3;8;34;22
3;7;35;22
4;7;35;22
4;7;35;23
4;7;35;23
4;6;35;24
4;6;35;24
4;6;36;24
4;6;36;24
4;5;36;24
4;6;36;24
4;5;36;24
4;5;36;24
4;5;36;25
4;5;37;25
5;5;37;25
5;5;37;25
5;5;37;25
5;4;37;26
5;4;37;26
4;4;37;26
4;4;37;26
4;3;37;26
4;3;37;26
4;3;37;26
4;3;37;26
4;3;37;27
4;3;37;27
4;3;37;27
4;2;37;27
4;2;37;27
4;2;37;27
4;2;37;27
4;2;37;27
4;2;37;28
4;2;38;28
4;2;38;28
4;1;37;28
4;1;37;28
4;1;37;28
4;1;37;29
4;1;38;29
4;0;38;29
4;0;38;29
3;0;38;29
3;0;38;29
3;0;38;30
3;0;38;30
3;0;38;30
3;1;38;31
3;1;38;31
3;2;38;31
3;2;38;32
3;2;38;32
3;2;38;32
3;2;38;32
3;2;38;32
3;3;39;32
3;3;39;33
3;3;39;33
3;3;39;33
3;3;39;33
3;3;39;33
1;3;34;26
0;3;34;26
0;2;34;26
0;2;34;26
7;5;39;25
7;5;39;25
8;5;39;25
7;5;39;26
7;5;39;26
7;5;39;26
7;5;39;26
7;5;39;26
7;4;39;26
7;4;39;26
7;4;39;26
7;4;39;26
6;4;38;26
6;4;38;26
6;4;38;26
6;4;38;26
6;4;38;26
6;4;39;26
6;3;39;27
6;3;39;27
6;3;39;27
6;3;39;27
7;3;39;27
6;2;39;27
6;2;39;28
6;2;39;28
6;2;39;28
6;1;39;28
6;1;39;29
6;1;39;29
