Column1;Column2
9.023417227;-79.53169765
9.023418533;-79.53169861
9.023418533;-79.53169861
9.023418533;-79.53169861
9.023417104;-79.53169756
9.023410631;-79.53169284
9.023400419;-79.53168539
9.023389555;-79.53167746
9.023378567;-79.53166945
9.02336728;-79.53166121
9.023355992;-79.53165298
9.023345834;-79.53164556
9.023335022;-79.53163768
9.023324687;-79.53163013
9.023313223;-79.53162177
9.023302235;-79.53161375
9.023290242;-79.531605
9.023279078;-79.53159686
9.023267737;-79.53158858
9.023257402;-79.53158104
9.023246115;-79.53157281
9.023235956;-79.5315654
9.02322615;-79.53155824
9.023215515;-79.53155048
9.023204051;-79.53154212
9.023193064;-79.5315341
9.023182852;-79.53152665
9.023172463;-79.53151907
9.023164033;-79.53151292
9.023157084;-79.53150785
9.023155479;-79.53150668
9.023156131;-79.53150716
9.023155479;-79.53150668
9.023154826;-79.5315062
9.023153521;-79.53150525
9.02315174;-79.53150395
