
, 2018-08-29 18:58:46.347676 
5.02, 4.01, 5.45
, 2018-08-29 18:58:46.362872 
5.02, 3.91, 5.57
, 2018-08-29 18:58:46.373160 
4.92, 4.01, 5.56
, 2018-08-29 18:58:46.384502 
5.02, 4.01, 5.57
, 2018-08-29 18:58:46.395169 
5.02, 4.00, 5.47
, 2018-08-29 18:58:46.405311 
5þ5.02, 3.89, 5.57
, 2018-08-29 18:58:46.410005 
4.92, 4.01, 5.56
, 2018-08-29 18:58:46.414555 
5.02, 4.01, 5.45
, 2018-08-29 18:58:46.419287 
5.02, 3.91, 5.57
, 2018-08-29 18:58:46.424176 
4.92, 4.01, 5.56
, 2018-08-29 18:58:46.428787 
5.02, 4.01, 5.57
, 2018-08-29 18:58:46.433503 
5.02, 4.00, 5.47
, 2018-08-29 18:58:46.438369 
5þ5.02, 3.89, 5.57
, 2018-08-29 18:58:46.442958 
4.92, 4.01, 5.56
, 2018-08-29 18:58:46.447385 
5.02, 4.01, 5.45
, 2018-08-29 18:58:46.451587 
5.02, 3.91, 5.57
, 2018-08-29 18:58:46.456213 
4.92, 4.01, 5.56
, 2018-08-29 18:58:46.460632 
5.02, 4.01, 5.57
, 2018-08-29 18:58:46.465452 
5.02, 4.00, 5.47
, 2018-08-29 18:58:46.470149 
5þ4.99, 4.15, 6.02
, 2018-08-29 18:58:46.474703 
5.02, 4.13, 5.44
, 2018-08-29 18:58:46.479283 
5.02, 4.15, 5.42
, 2018-08-29 18:58:46.483696 
5.02, 4.15, 5.33
, 2018-08-29 18:58:46.487943 
5.02, 4.13, 5.47
, 2018-08-29 18:58:46.492178 
5.02, 4.15, 5.45
, 2018-08-29 18:58:46.496752 
4.89, 4.03, 5.57
, 2018-08-29 18:58:46.501335 
4.89, 4.03, 5.57
, 2018-08-29 18:58:46.505961 
4.92, 4.01, 5.57
, 2018-08-29 18:58:46.510306 
4.92, 4.00, 5.56
, 2018-08-29 18:58:46.514908 
4.92, 4.15, 5.44
, 2018-08-29 18:58:46.519377 
5.02, 4.01, 5.45
, 2018-08-29 18:58:46.523941 
5.02, 3.89, 5.56
, 2018-08-29 18:58:46.528209 
4.92, 4.01, 5.56
, 2018-08-29 18:58:46.536884 
5.02, 4.01, 5.57
, 2018-08-29 18:58:46.547782 
5.02, 4.01, 5.47
