, 5.40
, 2018-09-22 14:18:51.930698 
4.99, 3.72, 5.40
, 2018-09-22 14:18:51.932968 
4.89, 3.82, 5.52
, 2018-09-22 14:18:51.934833 
4.99, 3.82, 5.51Š
, 2018-09-22 14:18:51.936789 
44.97, 3.96, 5.51
, 2018-09-22 14:18:53.589069 
4.99, 3.96, 5.39
, 2018-09-22 14:18:53.610229 
4.99, 3.96, 5.39
, 2018-09-22 14:18:53.626401 
4.99, 3.96, 5.40
, 2018-09-22 14:18:53.646241 
4.99, 3.94, 5.42
, 2018-09-22 14:18:53.663648 
4.85, 3.96, 5.42
, 2018-09-22 14:18:53.683572 
4.85, 3.96, 5.40
, 2018-09-22 14:18:53.699706 
4.97, 3.72, 5.51
, 2018-09-22 14:18:53.720807 
4.99, 3.72, 5.51
, 2018-09-22 14:18:53.740733 
4.99, 3.86, 5.39
, 2018-09-22 14:18:53.758127 
4.87, 3.96, 5.39
, 2018-09-22 14:18:53.777969 
4.99, 3.82, 5.42
, 2018-09-22 14:18:53.794123 
4.99, 3.70, 5.51
, 2018-09-22 14:18:53.815296 
4.87, 3.82, 5.52
, 2018-09-22 14:18:53.831450 
4.99, 3.82, 5.52
, 2018-09-22 14:18:53.851290 
4.99, 3.82, 5.40
, 2018-09-22 14:18:53.872468 
4.97, 3.74, 5.51
, 2018-09-22 14:18:53.888610 
4.87, 3.82, 5.52
, 2018-09-22 14:18:53.908454 
4.99, 3.82, 5.40
, 2018-09-22 14:18:53.925869 
4.99, 3.72, 5.52
, 2018-09-22 14:18:53.945789 
4.87, 3.82, 5.52
, 2018-09-22 14:18:53.961931 
4.99, 3.82, 5.52
, 2018-09-22 14:18:53.983040 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.002944 
4.97, 3.70, 5.52
, 2018-09-22 14:18:54.019100 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.040200 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.056356 
4.99, 3.72, 5.52
, 2018-09-22 14:18:54.077528 
4.89, 3.82, 5.52
, 2018-09-22 14:18:54.093677 
4.97, 3.82, 5.51
, 2018-09-22 14:18:54.113535 
4.97, 3.82, 5.40
, 2018-09-22 14:18:54.130926 
4.99, 3.70, 5.51
, 2018-09-22 14:18:54.150848 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.170690 
4.99, 3.82, 5.40
, 2018-09-22 14:18:54.188081 
4.97, 3.72, 5.40
, 2018-09-22 14:18:54.208006 
4.89, 3.82, 5.51
, 2018-09-22 14:18:54.224159 
4.97, 3.82, 5.52
, 2018-09-22 14:18:54.245259 
4.97, 3.82, 5.40
, 2018-09-22 14:18:54.261409 
4.97, 3.72, 5.52
, 2018-09-22 14:18:54.281335 
4.87, 3.82, 5.51
, 2018-09-22 14:18:54.302413 
4.97, 3.82, 5.52
, 2018-09-22 14:18:54.318569 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.338497 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.355905 
4.99, 3.82, 5.52
, 2018-09-22 14:18:54.375756 
4.99, 3.82, 5.40
, 2018-09-22 14:18:54.391890 
4.99, 3.72, 5.51
, 2018-09-22 14:18:54.413067 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.432905 
4.97, 3.82, 5.52
, 2018-09-22 14:18:54.450314 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.470233 
4.99, 3.72, 5.51
, 2018-09-22 14:18:54.486394 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.507476 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.523639 
4.99, 3.72, 5.51
, 2018-09-22 14:18:54.543560 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.564657 
4.97, 3.82, 5.52
, 2018-09-22 14:18:54.580797 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.600637 
4.99, 3.72, 5.52
, 2018-09-22 14:18:54.618116 
4.89, 3.82, 5.52
, 2018-09-22 14:18:54.637966 
4.97, 3.82, 5.40
, 2018-09-22 14:18:54.654124 
4.97, 3.72, 5.52
, 2018-09-22 14:18:54.675297 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.695133 
4.99, 3.82, 5.52
, 2018-09-22 14:18:54.711283 
4.97, 3.81, 5.40
, 2018-09-22 14:18:54.732383 
4.97, 3.72, 5.52
, 2018-09-22 14:18:54.748613 
4.89, 3.82, 5.52
, 2018-09-22 14:18:54.769708 
4.99, 3.82, 5.40
, 2018-09-22 14:18:54.785855 
4.99, 3.72, 5.42
, 2018-09-22 14:18:54.805776 
4.89, 3.82, 5.51
, 2018-09-22 14:18:54.826879 
4.99, 3.82, 5.51
, 2018-09-22 14:18:54.843038 
4.99, 3.82, 5.40
, 2018-09-22 14:18:54.862881 
4.99, 3.70, 5.52
, 2018-09-22 14:18:54.880353 
4.87, 3.82, 5.52
, 2018-09-22 14:18:54.900187 
4.99, 3.82, 5.51
, 2018-09-22 14:18:54.916344 
4.97, 3.82, 5.40
, 2018-09-22 14:18:54.937516 
4.89, 3.82, 5.52
, 2018-09-22 14:18:54.957364 
4.99, 3.82, 5.52
, 2018-09-22 14:18:54.973519 
4.99, 3.82, 5.42
, 2018-09-22 14:18:54.994603 
4.99, 3.72, 5.52
, 2018-09-22 14:18:55.010833 
4.89, 3.82, 5.51
, 2018-09-22 14:18:55.030686 
4.97, 3.82, 5.52
, 2018-09-22 14:18:55.048085 
4.99, 3.82, 5.42
, 2018-09-22 14:18:55.067930 
4.97, 3.72, 5.52
, 2018-09-22 14:18:55.087850 
4.87, 3.82, 5.52
, 2018-09-22 14:18:55.105252 
4.99, 3.82, 5.42
, 2018-09-22 14:18:55.125099 
4.99, 3.70, 5.51
, 2018-09-22 14:18:55.141334 
4.87, 3.82, 5.52
, 2018-09-22 14:18:55.162420 
4.99, 3.82, 5.52
, 2018-09-22 14:18:55.178374 
4.99, 3.82, 5.42
, 2018-09-22 14:18:55.199552 
4.99, 3.70, 5.52
, 2018-09-22 14:18:55.219518 
4.89, 3.82, 5.51
, 2018-09-22 14:18:55.235587 
4.99, 3.82, 5.42
, 2018-09-22 14:18:55.256768 
4.99, 3.72, 5.51
, 2018-09-22 14:18:55.272866 
4.89, 3.82, 5.52
, 2018-09-22 14:18:55.292796 
4.99, 3.82, 5.52
, 2018-09-22 14:18:55.310106 
4.97, 3.82, 5.42
, 2018-09-22 14:18:55.330043 
4.99, 3.72, 5.52
, 2018-09-22 14:18:55.350011 
4.89, 3.82, 5.52
, 2018-09-22 14:18:55.367321 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.387325 
4.97, 3.72, 5.42
, 2018-09-22 14:18:55.403545 
4.87, 3.82, 5.52
, 2018-09-22 14:18:55.424646 
4.99, 3.82, 5.52
, 2018-09-22 14:18:55.440801 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.460649 
4.99, 3.70, 5.52
, 2018-09-22 14:18:55.481815 
4.87, 3.82, 5.52
, 2018-09-22 14:18:55.497961 
4.99, 3.82, 5.52
, 2018-09-22 14:18:55.519055 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.535214 
4.87, 3.82, 5.52
, 2018-09-22 14:18:55.555136 
4.99, 3.82, 5.51
, 2018-09-22 14:18:55.572533 
4.97, 3.82, 5.42
, 2018-09-22 14:18:55.592374 
4.99, 3.72, 5.52
, 2018-09-22 14:18:55.612292 
4.89, 3.82, 5.52
, 2018-09-22 14:18:55.629700 
4.97, 3.82, 5.52
, 2018-09-22 14:18:55.649549 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.665711 
4.97, 3.72, 5.52
, 2018-09-22 14:18:55.686869 
4.87, 3.82, 5.52
, 2018-09-22 14:18:55.703142 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.722876 
4.99, 3.72, 5.52
, 2018-09-22 14:18:55.744047 
4.89, 3.82, 5.52
, 2018-09-22 14:18:55.760195 
4.97, 3.82, 5.51
, 2018-09-22 14:18:55.780043 
4.97, 3.82, 5.40
, 2018-09-22 14:18:55.797433 
4.99, 3.70, 5.52
, 2018-09-22 14:18:55.817354 
4.89, 3.82, 5.52
, 2018-09-22 14:18:55.833511 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.854614 
4.99, 3.72, 5.52
, 2018-09-22 14:18:55.874533 
4.87, 3.82, 5.51
, 2018-09-22 14:18:55.891922 
4.99, 3.82, 5.52
, 2018-09-22 14:18:55.911766 
4.99, 3.82, 5.40
, 2018-09-22 14:18:55.927923 
4.97, 3.72, 5.52
, 2018-09-22 14:18:55.949103 
4.89, 3.82, 5.52
, 2018-09-22 14:18:55.965256 
4.99, 3.82, 5.42
, 2018-09-22 14:18:55.985107 
4.97, 3.74, 5.40
, 2018-09-22 14:18:56.006265 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.022415 
4.99, 3.82, 5.52
, 2018-09-22 14:18:56.042265 
4.99, 3.82, 5.40
, 2018-09-22 14:18:56.059668 
4.97, 3.72, 5.52
, 2018-09-22 14:18:56.079588 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.095745 
4.97, 3.82, 5.52
, 2018-09-22 14:18:56.116845 
4.99, 3.82, 5.40
, 2018-09-22 14:18:56.136764 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.152918 
4.97, 3.82, 5.52
, 2018-09-22 14:18:56.174004 
4.99, 3.82, 5.40
, 2018-09-22 14:18:56.190146 
4.99, 3.72, 5.52
, 2018-09-22 14:18:56.211315 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.227475 
4.97, 3.82, 5.52
, 2018-09-22 14:18:56.247323 
4.99, 3.82, 5.42
, 2018-09-22 14:18:56.264727 
4.99, 3.72, 5.52
, 2018-09-22 14:18:56.284656 
4.89, 3.82, 5.51
, 2018-09-22 14:18:56.304483 
4.99, 3.82, 5.42
, 2018-09-22 14:18:56.321885 
4.97, 3.72, 5.51
, 2018-09-22 14:18:56.341814 
4.89, 3.82, 5.52
, 2018-09-22 14:18:56.357966 
4.99, 3.82, 5.52
, 2018-09-22 14:18:56.379059 
4.99, 3.82, 5.42
, 2018-09-22 14:18:56.395206 
4.99, 3.72, 5.52
, 2018-09-22 14:18:56.415133 
4.89, 3.82, 5.52
, 2018-09-22 14:18:56.436225 
4.99, 3.82, 5.42
, 2018-09-22 14:18:56.452379 
4.99, 3.72, 5.52
, 2018-09-22 14:18:56.472303 
4.89, 3.82, 5.51
, 2018-09-22 14:18:56.489698 
4.99, 3.82, 5.52
, 2018-09-22 14:18:56.509542 
4.99, 3.82, 5.40
, 2018-09-22 14:18:56.525698 
4.99, 3.72, 5.52
, 2018-09-22 14:18:56.546871 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.566716 
4.99, 3.82, 5.40
, 2018-09-22 14:18:56.582883 
4.99, 3.74, 5.40
, 2018-09-22 14:18:56.604034 
4.89, 3.82, 5.51
, 2018-09-22 14:18:56.620188 
4.99, 3.81, 5.52
, 2018-09-22 14:18:56.641290 
4.99, 3.82, 5.40
, 2018-09-22 14:18:56.657440 
4.99, 3.70, 5.52
, 2018-09-22 14:18:56.677363 
4.89, 3.82, 5.52
, 2018-09-22 14:18:56.698443 
4.97, 3.82, 5.52
, 2018-09-22 14:18:56.714610 
4.99, 3.82, 5.42
, 2018-09-22 14:18:56.734451 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.751928 
4.99, 3.82, 5.52
, 2018-09-22 14:18:56.771773 
4.97, 3.82, 5.40
, 2018-09-22 14:18:56.787912 
4.99, 3.72, 5.51
, 2018-09-22 14:18:56.809087 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.828935 
4.99, 3.82, 5.52
, 2018-09-22 14:18:56.845098 
4.97, 3.82, 5.40
, 2018-09-22 14:18:56.866190 
4.97, 3.74, 5.52
, 2018-09-22 14:18:56.882415 
4.90, 3.82, 5.52
, 2018-09-22 14:18:56.902257 
4.99, 3.82, 5.42
, 2018-09-22 14:18:56.919657 
4.99, 3.72, 5.52
, 2018-09-22 14:18:56.939585 
4.87, 3.82, 5.52
, 2018-09-22 14:18:56.960678 
4.99, 3.82, 5.52
, 2018-09-22 14:18:56.976833 
4.97, 3.82, 5.40
, 2018-09-22 14:18:56.996667 
4.99, 3.72, 5.51
, 2018-09-22 14:18:57.014152 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.034002 
4.99, 3.82, 5.42
, 2018-09-22 14:18:57.050146 
4.99, 3.72, 5.52
, 2018-09-22 14:18:57.071323 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.091159 
4.99, 3.82, 5.51
, 2018-09-22 14:18:57.107311 
4.99, 3.82, 5.42
, 2018-09-22 14:18:57.128413 
4.99, 3.70, 5.52
, 2018-09-22 14:18:57.144645 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.164488 
4.97, 3.82, 5.40
, 2018-09-22 14:18:57.181888 
4.99, 3.72, 5.42
, 2018-09-22 14:18:57.201871 
4.87, 3.82, 5.51
, 2018-09-22 14:18:57.221657 
4.97, 3.82, 5.52
, 2018-09-22 14:18:57.239053 
4.99, 3.82, 5.40
, 2018-09-22 14:18:57.258902 
4.99, 3.72, 5.52
, 2018-09-22 14:18:57.275138 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.296220 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.312369 
4.99, 3.82, 5.42
, 2018-09-22 14:18:57.333474 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.353390 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.369541 
4.97, 3.82, 5.40
, 2018-09-22 14:18:57.390637 
4.97, 3.72, 5.51
, 2018-09-22 14:18:57.406863 
4.87, 3.82, 5.51
, 2018-09-22 14:18:57.426716 
4.97, 3.82, 5.52
, 2018-09-22 14:18:57.444119 
4.99, 3.82, 5.42
, 2018-09-22 14:18:57.463973 
4.97, 3.70, 5.52
, 2018-09-22 14:18:57.483889 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.501279 
4.99, 3.82, 5.40
, 2018-09-22 14:18:57.521117 
4.99, 3.70, 5.51
, 2018-09-22 14:18:57.537352 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.558448 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.574603 
4.99, 3.82, 5.42
, 2018-09-22 14:18:57.594446 
4.99, 3.72, 5.52
, 2018-09-22 14:18:57.615620 
4.87, 3.82, 5.52
, 2018-09-22 14:18:57.631778 
4.99, 3.82, 5.40
, 2018-09-22 14:18:57.651619 
4.97, 3.72, 5.52
, 2018-09-22 14:18:57.669016 
4.89, 3.82, 5.52
, 2018-09-22 14:18:57.688939 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.705086 
4.97, 3.82, 5.42
, 2018-09-22 14:18:57.726184 
4.99, 3.72, 5.52
, 2018-09-22 14:18:57.746109 
4.89, 3.82, 5.52
, 2018-09-22 14:18:57.763514 
4.99, 3.82, 5.40
, 2018-09-22 14:18:57.783357 
4.97, 3.72, 5.42
, 2018-09-22 14:18:57.799498 
4.89, 3.82, 5.52
, 2018-09-22 14:18:57.820673 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.836835 
4.97, 3.82, 5.40
, 2018-09-22 14:18:57.856682 
4.99, 3.72, 5.52
, 2018-09-22 14:18:57.877847 
4.89, 3.82, 5.52
, 2018-09-22 14:18:57.893998 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.913839 
4.99, 3.82, 5.40
, 2018-09-22 14:18:57.931247 
4.89, 3.82, 5.52
, 2018-09-22 14:18:57.951171 
4.99, 3.82, 5.52
, 2018-09-22 14:18:57.967324 
4.97, 3.82, 5.42
, 2018-09-22 14:18:57.988404 
4.99, 3.70, 5.51
, 2018-09-22 14:18:58.008354 
4.89, 3.82, 5.52
, 2018-09-22 14:18:58.024485 
4.99, 3.82, 5.52
, 2018-09-22 14:18:58.045582 
4.97, 3.82, 5.40
, 2018-09-22 14:18:58.061736 
4.97, 3.74, 5.52
, 2018-09-22 14:18:58.082910 
4.87, 3.82, 5.52
, 2018-09-22 14:18:58.099046 
4.99, 3.82, 5.40
, 2018-09-22 14:18:58.118905 
4.97, 3.72, 5.52
, 2018-09-22 14:18:58.140079 
4.89, 3.82, 5.52
, 2018-09-22 14:18:58.156241 
4.99, 3.82, 5.52
, 2018-09-22 14:18:58.176076 
4.99, 3.82, 5.42
, 2018-09-22 14:18:58.193470 
4.99, 3.72, 5.51
, 2018-09-22 14:18:58.213388 
4.87, 3.82, 5.52
, 2018-09-22 14:18:58.229537 
4.97, 3.82, 5.42
, 2018-09-22 14:18:58.250641 
4.99, 3.72, 5.52
, 2018-09-22 14:18:58.266789 
4.89, 3.82, 5.52
, 2018-09-22 14:18:58.286704 
4.99, 3.82, 5.51
, 2018-09-22 14:18:58.307795 
4.99, 3.82, 5.40
, 2018-09-22 14:18:58.323962 
4.99, 3.70, 5.52
, 2018-09-22 14:18:58.343889 
4.87, 3.82, 5.52
, 2018-09-22 14:18:58.361280 
4.99, 3.82, 5.42
, 2018-09-22 14:18:58.381128 
4.99, 3.74, 5.40
, 2018-09-22 14:18:58.397270 
4.87, 3.82, 5.52
, 2018-09-22 14:18:58.418443 
4.97, 3.82, 5.52
, 2018-09-22 14:18:58.438292 
4.99, 3.82, 5.42
