1, 5.18
, 2018-08-29 19:32:08.775044 
4.66, 3.81, 5.20
, 2018-08-29 19:32:41.357157 
4.66, 159.53, 5.06
, 2018-08-29 19:32:44.363377 
4.60, 159.12, 5.20
, 2018-08-29 19:33:00.867114 
4.56, 3047.86, 5.30
, 2018-08-29 19:34:23.992629 
4.66, 3.79, 5.32
, 2018-08-29 19:34:27.250235 
4.66, 3079.73, 5.06
, 2018-08-29 19:34:28.654296 
4.66, 3.69, 5.30
, 2018-08-29 19:34:39.637459 
4.66, 3089.97, 5.18
, 2018-08-29 19:34:47.733807 
4.56, 3.79, 5.30
, 2018-08-29 19:35:02.747508 
43, 5.66
, 2018-08-29 19:35:49.457969 
4.87, 4.63, 5.56
, 2018-08-29 19:36:10.245645 
4.77, 4.61, 5.66
, 2018-08-29 19:36:12.981902 
4.87, 4.22, 5.66
, 2018-08-29 19:36:18.180883 
4.87, 4.6.61, 5.56
, 2018-08-29 19:36:22.411157 
4.87, 4.51, 5.66
, 2018-08-29 19:36:28.990568 
4.77, 4.61, 5.66
, 2018-08-29 19:36:30.523788 
4.87, 4.63, 5.66
, 2018-08-29 19:36:43.829995 
4.87, 4.63, 5.56
, 2018-08-29 19:37:01.412034 
4.77, 4.61, 5.66
, 2018-08-29 19:37:33.882588 
4.87, 4.22, 5.66
, 2018-08-29 19:37:34.688046 
4.87, 4.63, 5.56
, 2018-08-29 19:37:40.306939 
4.87, 4.51, 5.66
, 2018-08-29 19:37:40.883286 
4.77, 4.63, 5.66
, 2018-08-29 19:38:08.926493 
4.87, 4.63, 5.71
, 2018-08-29 19:38:11.300681 
4.87, 4.61, 5.56
, 2018-08-29 19:38:32.154229 
4.77, 4.51, 5.66
, 2018-08-29 19:38:33.154445 
4.87, 4.63, 5.66
, 2018-08-29 19:38:48.230500 
4.87, 4.63, 5.56
, 2018-08-29 19:38:49.230566 
4.87, 4.51, 5.64
, 2018-08-29 19:39:09.690319 
4.77, 4.22, 5.66
, 2018-08-29 19:39:13.175602 
4.89, 4.63, 5.66
, 2018-08-29 19:40:01.839771 
4.87, 4.63, 5.56
, 2018-08-29 19:40:03.358683 
, 4.17, 5.45
, 2018-08-29 19:49:52.840326 
5.02, 4.94, 5.35
, 2018-08-29 19:50:41.179567 
4.92, 5.04, 5.45
, 2018-08-29 19:50:47.992503 
5.44, 4.17, 5.5.45
, 2018-08-29 19:50:56.630524 
5.44, 4.17, 5.35
, 2018-08-29 19:51:02.986254 
5.44, 4.05, 5.45
, 2018-08-29 19:51:10.720363 
5.33, 5.02, 5.45
, 2018-08-29 19:51:12.122035 
5.44, 4.17, 5.45
, 2018-08-29 19:51:23.028131 
5.02, 4.94, 5.35
, 2018-08-29 19:51:47.048439 
4.92, 5.04, 5.45
, 2018-08-29 19:52:09.945294 
5.44, 4.17, 5.45
, 2018-08-29 19:52:31.006520 
5.44, 4.17, 5.35
, 2018-08-29 19:52:41.217837 
83.38, 5.66
, 2018-08-29 19:53:25.986454 
5.95, 3.91, 5.66
, 2018-08-29 19:53:27.770395 
4.77, 3.89, 5.66
, 2018-08-29 19:53:29.594829 
5.13, 4.2.91, 5.61
, 2018-08-29 19:53:56.145463 
4.82, 3.91, 5.71
, 2018-08-29 19:54:11.699572 
5.39, 4.37, 5.66
, 2018-08-29 19:55:01.466016 
5.39, 4.37, 5.56
, 2018-08-29 19:55:02.067990 
5.80, 3.38, 5.66
, 2018-08-29 19:55:47.896668 
5.95, 3.91, 5.66
, 2018-08-29 19:55:51.125146 
4.77, 3.89, 5.66
, 2018-08-29 19:55:57.417248 
5.13, 4.27, , 5.61
, 2018-08-29 19:56:00.382319 
4.82, 3.91, 5.71
, 2018-08-29 19:56:11.375935 
5.39, 4.37, 5.66
, 2018-08-29 19:56:14.670417 
5.39, 4.37, 5.56
, 2018-08-29 19:56:57.384713 
5.80, 3.38, 5.66
, 2018-08-29 19:56:57.941108 
5.95, 3.91, 5.66
, 2018-08-29 19:57:48.267167 
4.77, 3.89, 5.66
, 2018-08-29 19:57:50.202683 
5.13, 4.27, 5.97
, 2018-08-29 19:57:52.214095 
4.66, 3.86, 6.02
, 2018-08-29 19:57:53.662592 
5.49, 4.20, 6.02
, 2018-08-29 19:57:55.613599 
5.08, 4.17, 5.40
, 2018-08-29 19:58:04.758614 
4.56, 4.48, 5.51
, 2018-08-29 19:58:06.233083 
4.97, 4.22, 5.56
, 2018-08-29 19:58:10.911913 
5.18, 4.68, 5.97
, 2018-08-29 19:58:11.348775 
5.54, 4.27, 5.81
, 2018-08-29 19:58:17.141589 
4.72, 3.74, 5.92
, 2018-08-29 19:58:17.549018 
4.72, 3.86, 5.92
, 2018-08-29 19:58:20.351137 
4.87, 3.86, 5.25
, 2018-08-29 19:58:22.936808 
4.92, 3.74, 5.20
, 2018-08-29 19:58:42.087438 
4.77, 4.32, 5.35
, 2018-08-29 19:58:42.431223 
4.41, 3.43, 5.40
, 2018-08-29 19:58:47.958855 
4.36, 4.25, 5.35
, 2018-08-29 19:58:48.428816 
4.36, 4.20, 5.45
, 2018-08-29 19:58:58.483126 
4.30, 4.32, 5.87
, 2018-08-29 19:59:05.804735 
4.36, 4.68, 5.42
, 2018-08-29 19:59:06.992255 
4.36, 5.35, 5.35
, 2018-08-29 19:59:09.621208 
4.25, 6.23, 5.45
, 2018-08-29 19:59:11.105541 
4.41, 6.12, 5.87
, 2018-08-29 19:59:19.352453 
4.41, 4.77, 5.76
, 2018-08-29 19:59:21.321707 
4.42, 4.20, 5.40
, 2018-08-29 19:59:37.042503 
4.30, 4.72, 5.35
, 2018-08-29 19:59:42.007980 
4.87, 5.09, 5.32
, 2018-08-29 19:59:48.971038 
4.73, 7.10, 5.20
, 2018-08-29 19:59:59.168559 
4.30, 3090.24, 5.76
, 2018-08-29 20:00:07.084911 
4.42, 3.38, 6.23
, 2018-08-29 20:00:08.219803 
4.41, 4.39, 5.99
, 2018-08-29 20:00:09.687970 
4.42, 4.87, 6.38
, 2018-08-29 20:00:10.174577 
4.41, 3.88, 5.52
, 2018-08-29 20:00:11.731758 
4.87, 3.88, 5.63
, 2018-08-29 20:00:12.168381 
4.87, 4.29, 5.76
, 2018-08-29 20:00:15.881901 
4.77, 4.82, 5.71
, 2018-08-29 20:00:16.529715 
4.77, 4.87, 5.71
, 2018-08-29 20:00:25.299464 
4.70, 4.85, 5.71
, 2018-08-29 20:00:26.510623 
4.82, 4.27, 5.66
, 2018-08-29 20:00:27.940422 
5.64, 4.20, 5.51
, 2018-08-29 20:00:33.514877 
5.28, 4.84, 5.51
, 2018-08-29 20:00:35.421566 
4.77, 4.94, 5.06
, 2018-08-29 20:00:38.190996 
