Column1;Column2;Column3;Column4
9.0234205;-79.5316808;32.18; Region 1
9.0234088;-79.5316792;31.01; Region 1
9.0234068;-79.5316795;30.84; Region 1
9.0234058;-79.5316795;30.75; Region 1
9.0234055;-79.5316795;30.73; Region 1
9.023405;-79.5316783;30.6; Region 1
9.0234042;-79.5316762;30.4; Region 1
9.0234033;-79.531674;30.18; Region 1
9.0234025;-79.5316707;29.9; Region 1
9.0234048;-79.5316675;29.92; Region 1
9.0234043;-79.5316657;29.76; Region 1
9.0234038;-79.5316642;29.62; Region 1
9.0234032;-79.5316622;29.45; Region 1
9.0234022;-79.5316603;29.24; Region 1
9.0234008;-79.5316587;29.02; Region 1
9.0234007;-79.5316563;28.87; Region 1
9.0234005;-79.5316548;28.76; Region 1
9.0234007;-79.5316547;28.78; Region 1
9.0234;-79.5316538;28.66; Region 1
9.0233993;-79.5316528;28.53; Region 1
9.0233975;-79.5316522;28.33; Region 1
9.023396;-79.5316512;28.13; Region 1
9.0233955;-79.5316505;28.04; Region 1
9.0233942;-79.5316497;27.87; Region 1
9.0233925;-79.5316487;27.65; Region 1
9.023392;-79.5316477;27.55; Region 1
9.023392;-79.5316463;27.47; Region 1
9.0233917;-79.5316455;27.4; Region 1
9.0233917;-79.531645;27.37; Region 1
9.0233908;-79.5316438;27.21; Region 1
9.0233902;-79.5316425;27.08; Region 1
9.0233878;-79.5316417;26.81; Region 1
9.0233875;-79.5316398;26.68; Region 1
9.0233855;-79.5316392;26.45; Region 1
9.0233833;-79.5316385;26.2; Region 1
9.0233817;-79.5316375;25.99; Region 1
9.0233802;-79.5316362;25.77; Region 1
9.0233777;-79.531635;25.47; Region 1
9.0233762;-79.5316347;25.31; Region 1
9.0233757;-79.5316335;25.19; Region 1
9.0233725;-79.5316335;24.89; Region 1
9.023371;-79.5316335;24.74; Region 1
9.0233695;-79.5316332;24.58; Region 1
9.0233665;-79.5316332;24.3; Region 1
9.0233637;-79.5316323;23.98; Region 1
9.0233615;-79.5316312;23.71; Region 1
9.0233602;-79.5316298;23.51; Region 1
9.023359;-79.5316287;23.33; Region 1
9.0233575;-79.5316278;23.14; Region 1
9.0233567;-79.5316263;22.97; Region 1
9.0233555;-79.5316257;22.83; Region 1
9.023356;-79.5316252;22.84; Region 1
9.0233548;-79.5316242;22.67; Region 1
9.0233528;-79.5316245;22.5; Region 1
9.0233522;-79.5316233;22.38; Region 1
9.0233507;-79.5316217;22.14; Region 1
9.0233488;-79.5316207;21.9; Region 1
9.0233488;-79.5316197;21.85; Region 1
9.0233482;-79.5316193;21.77; Region 1
9.0233465;-79.5316185;21.56; Region 1
9.023345;-79.5316177;21.37; Region 1
9.023343;-79.5316163;21.1; Region 1
9.0233417;-79.531614;20.85; Region 1
9.0233413;-79.5316117;20.68; Region 1
9.0233405;-79.5316102;20.52; Region 1
9.0233395;-79.531609;20.36; Region 1
9.0233382;-79.531608;20.18; Region 1
9.0233368;-79.5316077;20.03; Region 1
9.0233358;-79.5316065;19.87; Region 1
9.0233338;-79.5316058;19.64; Region 1
9.0233328;-79.531606;19.55; Region 1
9.0233318;-79.5316058;19.44; Region 1
9.0233303;-79.5316058;19.3; Region 1
9.0233305;-79.5316047;19.26; Region 1
9.02333;-79.5316033;19.13; Region 1
9.023328;-79.5316035;18.95; Region 1
9.0233272;-79.531602;18.79; Region 1
9.0233255;-79.5316018;18.62; Region 1
9.0233242;-79.531601;18.45; Region 1
9.0233227;-79.5316005;18.28; Region 1
9.0233212;-79.5315988;18.04; Region 1
9.0233192;-79.531599;17.86; Region 1
9.0233178;-79.5315978;17.66; Region 1
9.023316;-79.5315968;17.43; Region 1
9.023315;-79.5315953;17.25; Region 1
9.0233143;-79.5315945;17.14; Region 1
9.0233135;-79.5315942;17.05; Region 1
9.023313;-79.5315928;16.92; Region 1
9.0233123;-79.5315902;16.71; Region 1
9.0233118;-79.5315865;16.47; Region 1
9.0233107;-79.5315823;16.16; Region 1
9.0233092;-79.5315803;15.91; Region 1
